# Optical n & k TableODB values according to Palik
# Column Entries: wavelength [um], refractive index [1], extinction coefficient [1]
5.6400000E-01,5.2904696E+00,2.0455546E+00
5.6500000E-01,5.3076205E+00,2.0376437E+00
5.6600000E-01,5.3247715E+00,2.0297327E+00
5.6700000E-01,5.3419224E+00,2.0218218E+00
5.6800000E-01,5.3590734E+00,2.0139108E+00
5.6900000E-01,5.3762243E+00,2.0059998E+00
5.7000000E-01,5.3933753E+00,1.9980889E+00
5.7100000E-01,5.4105262E+00,1.9901779E+00
5.7200000E-01,5.4276772E+00,1.9822670E+00
5.7300000E-01,5.4448281E+00,1.9743560E+00
5.7400000E-01,5.4619791E+00,1.9664451E+00
5.7500000E-01,5.4791300E+00,1.9585341E+00
5.7600000E-01,5.4962810E+00,1.9506232E+00
5.7700000E-01,5.5134319E+00,1.9427122E+00
5.7800000E-01,5.5305829E+00,1.9348013E+00
5.7900000E-01,5.5477338E+00,1.9268903E+00
5.8000000E-01,5.5651568E+00,1.9073223E+00
5.8100000E-01,5.5827364E+00,1.8810435E+00
5.8200000E-01,5.6003160E+00,1.8547648E+00
5.8300000E-01,5.6178956E+00,1.8284860E+00
5.8400000E-01,5.6354751E+00,1.8022073E+00
5.8500000E-01,5.6530547E+00,1.7759285E+00
5.8600000E-01,5.6706343E+00,1.7496498E+00
5.8700000E-01,5.6882139E+00,1.7233710E+00
5.8800000E-01,5.7057935E+00,1.6970923E+00
5.8900000E-01,5.7233730E+00,1.6708135E+00
5.9000000E-01,5.7409526E+00,1.6445347E+00
5.9100000E-01,5.7543240E+00,1.6173011E+00
5.9200000E-01,5.7648795E+00,1.5894285E+00
5.9300000E-01,5.7754351E+00,1.5615559E+00
5.9400000E-01,5.7859906E+00,1.5336833E+00
5.9500000E-01,5.7965461E+00,1.5058108E+00
5.9600000E-01,5.8071017E+00,1.4779382E+00
5.9700000E-01,5.8176572E+00,1.4500656E+00
5.9800000E-01,5.8282128E+00,1.4221930E+00
5.9900000E-01,5.8387683E+00,1.3943204E+00
6.0000000E-01,5.8493238E+00,1.3664478E+00
